row_id,cow_id,age,stage,sex,date_birth,date_death,date_death_expected,is_owned,cause_removal,is_replacement,is_introduced,is_in_common_ranch,is_grazed,parity,date_last_delivery,date_got_pregnant,date_dried,n_ai,day_heat,day_last_heat,day_last_heat_detected,n_heat_from_ai,infection_status,date_ial,date_ipl,date_ipl_expected,date_ebl,date_ebl_expected,cause_infection,susceptibility_ial_to_ipl,susceptibility_ipl_to_ebl,area_id,months_in_area,chamber_id,is_isolated,i_month
1,1,97,milking,female,-97,,21,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,6,-6,-3,,0,5,15,23,,ial,-41,,60,,,initial,TRUE,TRUE,5,-6,,FALSE,0
2,2,91,milking,female,-91,,55,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,6,-1,,,0,9,19,19,,s,,,,,,,FALSE,FALSE,4,-1,,FALSE,0
3,3,90,milking,female,-90,,4,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,6,-9,-6,,0,25,4,4,,ial,-41,,,,,initial,FALSE,FALSE,5,-9,,FALSE,0
4,4,85,milking,female,-85,,76,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,5,-6,-3,,0,14,22,22,,ial,-34,,,,,initial,FALSE,FALSE,4,-6,,FALSE,0
5,5,83,milking,female,-83,,64,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,5,-2,,,0,5,14,23,,ial,-12,,,,,initial,FALSE,FALSE,4,-2,,FALSE,0
6,6,81,milking,female,-81,,41,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,-9,-6,,0,5,13,13,,s,,,,,,,TRUE,FALSE,4,-9,,FALSE,0
7,7,79,milking,female,-79,,5,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,5,-3,,,2,2,11,11,0,s,,,,,,,TRUE,FALSE,4,-3,,FALSE,0
8,8,74,dry,female,-74,,17,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,-12,-9,-3,0,10,20,20,,ial,-41,,,,,initial,FALSE,FALSE,5,-3,,FALSE,0
9,9,72,milking,female,-72,,51,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,4,-4,-1,,0,30,9,9,,s,,,,,,,FALSE,FALSE,5,-4,,FALSE,0
10,10,69,milking,female,-69,,26,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,-9,-6,,0,25,5,14,,s,,,,,,,FALSE,FALSE,5,-9,,FALSE,0
11,11,66,milking,female,-66,,9,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,4,-4,-1,,0,12,20,20,,ial,-41,,40,,,initial,TRUE,FALSE,4,-4,,FALSE,0
12,12,64,milking,female,-64,,155,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,4,-2,,,0,15,22,22,,s,,,,,,,FALSE,FALSE,5,-2,,FALSE,0
13,13,63,milking,female,-63,,47,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,-4,-1,,0,1,10,19,,s,,,,,,,FALSE,FALSE,5,-4,,FALSE,0
14,14,63,milking,female,-63,,53,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,-2,,,0,20,30,30,,s,,,,,,,FALSE,FALSE,5,-2,,FALSE,0
15,15,62,milking,female,-62,,61,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,-2,,,0,3,11,19,,s,,,,,,,TRUE,FALSE,4,-2,,FALSE,0
16,16,55,milking,female,-55,,28,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,-7,-4,,0,6,15,15,,s,,,,,,,FALSE,FALSE,4,-7,,FALSE,0
17,17,55,milking,female,-55,,27,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,3,-5,-2,,0,10,17,26,,s,,,,,,,TRUE,FALSE,5,-5,,FALSE,0
18,18,51,milking,female,-51,,64,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,-3,,,2,10,19,19,0,s,,,,,,,TRUE,TRUE,4,-3,,FALSE,0
19,19,50,milking,female,-50,,29,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-9,-6,,0,6,14,22,,s,,,,,,,FALSE,FALSE,5,-9,,FALSE,0
20,20,46,dry,female,-46,,40,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,-10,-7,-1,0,15,24,24,,s,,,,,,,FALSE,FALSE,5,-1,,FALSE,0
21,21,44,milking,female,-44,,65,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,-6,-3,,0,20,30,30,,s,,,,,,,FALSE,FALSE,4,-6,,FALSE,0
22,22,44,dry,female,-44,,38,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-10,-7,-1,0,28,7,7,,s,,,,,,,FALSE,FALSE,5,-1,,FALSE,0
23,23,43,milking,female,-43,,3,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-7,-4,,0,20,1,10,,s,,,,,,,TRUE,FALSE,5,-7,,FALSE,0
24,24,42,milking,female,-42,,94,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-6,-3,,0,26,4,4,,s,,,,,,,FALSE,FALSE,4,-6,,FALSE,0
25,25,42,milking,female,-42,,27,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,12,21,21,,s,,,,,,,FALSE,FALSE,4,-6,,FALSE,0
26,26,41,milking,female,-41,,26,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-5,-2,,0,25,2,10,,s,,,,,,,TRUE,FALSE,4,-5,,FALSE,0
27,27,41,milking,female,-41,,15,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-3,,,2,23,2,2,0,ial,-34,,,,,initial,FALSE,FALSE,4,-3,,FALSE,0
28,28,41,milking,female,-41,,10,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-4,-1,,0,6,16,25,,s,,,,,,,FALSE,FALSE,4,-4,,FALSE,0
29,29,41,milking,female,-41,,1,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,-6,-3,,0,25,3,14,,s,,,,,,,FALSE,FALSE,5,-6,,FALSE,0
30,30,39,milking,female,-39,,17,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-1,,,0,8,18,18,,s,,,,,,,FALSE,FALSE,4,-1,,FALSE,0
31,31,39,milking,female,-39,,36,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-1,,,0,12,22,22,,s,,,,,,,FALSE,FALSE,4,-1,,FALSE,0
32,32,38,dry,female,-38,,52,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-12,-9,-3,0,25,4,4,,s,,,,,,,FALSE,FALSE,5,-3,,FALSE,0
33,33,37,milking,female,-37,,32,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-2,,,0,23,2,11,,s,,,,,,,TRUE,FALSE,4,-2,,FALSE,0
34,34,35,dry,female,-35,,27,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-11,-8,-2,0,24,3,3,,s,,,,,,,FALSE,FALSE,5,-2,,FALSE,0
35,35,35,dry,female,-35,,18,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-10,-7,-1,0,6,15,15,,s,,,,,,,FALSE,FALSE,5,-1,,FALSE,0
36,36,31,milking,female,-31,,94,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,26,6,6,,s,,,,,,,FALSE,FALSE,4,-6,,FALSE,0
37,37,31,milking,female,-31,,53,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,7,17,17,,s,,,,,,,FALSE,FALSE,4,-6,,FALSE,0
38,38,31,milking,female,-31,,3,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,19,28,8,,s,,,,,,,FALSE,FALSE,5,-6,,FALSE,0
39,39,31,milking,female,-31,,27,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,10,18,18,,s,,,,,,,FALSE,FALSE,5,-6,,FALSE,0
40,40,29,milking,female,-29,,9,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-4,-1,,0,6,17,17,,s,,,,,,,TRUE,FALSE,4,-4,,FALSE,0
41,41,29,milking,female,-29,,0,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-4,-1,,0,24,2,2,,s,,,,,,,FALSE,FALSE,4,-4,,FALSE,0
42,42,29,milking,female,-29,,2,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-4,-1,,0,14,23,23,,s,,,,,,,TRUE,FALSE,5,-4,,FALSE,0
43,43,28,milking,female,-28,,12,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-3,,,2,2,10,21,2,s,,,,,,,TRUE,FALSE,4,-3,,FALSE,0
44,44,27,milking,female,-27,,36,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-2,,,0,13,22,1,,s,,,,,,,FALSE,FALSE,4,-2,,FALSE,0
45,45,26,milking,female,-26,,11,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-1,,,0,18,27,27,,s,,,,,,,TRUE,FALSE,4,-1,,FALSE,0
46,46,26,milking,female,-26,,28,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-1,,,0,22,1,1,,s,,,,,,,FALSE,FALSE,4,-1,,FALSE,0
47,47,26,milking,female,-26,,51,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-1,,,0,14,24,4,,s,,,,,,,FALSE,FALSE,4,-1,,FALSE,0
48,48,25,milking,female,-25,,19,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,0,,,0,6,14,24,,s,,,,,,,TRUE,FALSE,4,0,,FALSE,0
49,49,24,heifer,female,-24,,89,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,-8,,0,1,9,9,,s,,,,,,,TRUE,FALSE,3,12,,FALSE,0
50,50,22,heifer,female,-22,,32,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,-6,,0,19,27,5,,s,,,,,,,FALSE,FALSE,3,10,,FALSE,0
51,51,22,heifer,female,-22,,38,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,-6,,0,19,26,26,,s,,,,,,,FALSE,FALSE,3,10,,FALSE,0
52,52,20,heifer,female,-20,,25,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,-4,,0,8,16,16,,s,,,,,,,FALSE,FALSE,3,8,,FALSE,0
53,53,18,heifer,female,-18,,22,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,-2,,0,6,16,23,,s,,,,,,,FALSE,FALSE,3,6,,FALSE,0
54,54,15,heifer,female,-15,,76,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,23,3,3,,s,,,,,,,FALSE,FALSE,3,3,,FALSE,0
55,55,15,heifer,female,-15,,90,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,12,22,22,,s,,,,,,,TRUE,FALSE,3,3,,FALSE,0
56,56,14,heifer,female,-14,,39,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,6,15,15,,s,,,,,,,TRUE,FALSE,3,2,,FALSE,0
57,57,14,heifer,female,-14,,111,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,8,18,26,,s,,,,,,,FALSE,FALSE,3,2,,FALSE,0
58,58,13,heifer,female,-13,,35,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,7,16,16,,s,,,,,,,FALSE,FALSE,3,1,,FALSE,0
59,59,12,heifer,female,-12,,23,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,11,21,21,,s,,,,,,,FALSE,FALSE,3,0,,FALSE,0
60,60,12,heifer,female,-12,,57,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,17,26,26,,s,,,,,,,TRUE,TRUE,3,0,,FALSE,0
61,61,12,heifer,female,-12,,25,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,4,14,24,,s,,,,,,,TRUE,FALSE,3,0,,FALSE,0
62,62,10,calf,female,-10,,62,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,13,20,20,,s,,,,,,,TRUE,FALSE,2,7,,FALSE,0
63,63,9,calf,female,-9,,69,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,8,16,25,,s,,,,,,,TRUE,FALSE,2,6,,FALSE,0
64,64,6,calf,female,-6,,34,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,28,6,,0,s,,,,,,,FALSE,FALSE,3,3,,FALSE,0
65,65,6,calf,female,-6,,21,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,28,7,,0,s,,,,,,,TRUE,FALSE,3,3,,FALSE,0
66,66,5,calf,female,-5,,48,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,12,20,,0,s,,,,,,,TRUE,FALSE,3,2,,FALSE,0
67,67,5,calf,female,-5,,57,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,3,11,,0,s,,,,,,,FALSE,FALSE,3,2,,FALSE,0
68,68,4,calf,female,-4,,86,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,4,13,,0,s,,,,,,,FALSE,FALSE,3,1,,FALSE,0
69,69,3,calf,female,-3,,44,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,15,24,,0,s,,,,,,,FALSE,FALSE,3,0,,FALSE,0
70,70,3,calf,female,-3,,28,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,14,24,,0,s,,,,,,,TRUE,TRUE,3,0,,FALSE,0
71,71,3,calf,female,-3,,80,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,26,4,,0,s,,,,,,,TRUE,FALSE,3,0,,FALSE,0
72,72,1,calf,female,-1,,28,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,13,23,,0,s,,,,,,,TRUE,FALSE,2,7,,FALSE,0
73,73,0,calf,female,0,,74,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,3,12,,0,s,,,,,,,TRUE,FALSE,2,6,,FALSE,0
1,1,98,milking,female,-97,,21,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,6,-6,-3,,0,5,15,23,,ial,-41,,60,,,initial,TRUE,TRUE,2,-6,,FALSE,1
2,2,92,milking,female,-91,,55,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,6,-1,,,0,9,19,19,,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,1
3,3,91,milking,female,-90,,4,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,6,-9,-6,,0,25,4,4,,ial,-41,,,,,initial,FALSE,FALSE,2,-9,,FALSE,1
4,4,86,milking,female,-85,,76,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,5,-6,-3,,0,14,22,22,,ial,-34,,,,,initial,FALSE,FALSE,2,-6,,FALSE,1
5,5,84,milking,female,-83,,64,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,5,-2,1,,0,0,5,5,0,ial,-12,,,,,initial,FALSE,FALSE,2,-2,,FALSE,1
6,6,82,milking,female,-81,,41,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,-9,-6,,0,5,13,13,,s,,,,,,,TRUE,FALSE,2,-9,,FALSE,1
7,7,80,milking,female,-79,,5,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,5,-3,1,,0,,2,2,0,s,,,,,,,TRUE,FALSE,2,-3,,FALSE,1
8,8,75,milking,female,-74,,17,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,1,,-3,0,14,15,20,,ial,-41,,,,,initial,FALSE,FALSE,2,-3,,FALSE,1
9,9,73,milking,female,-72,,51,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,4,-4,-1,,0,30,9,9,,s,,,,,,,FALSE,FALSE,2,-4,,FALSE,1
10,10,70,milking,female,-69,,26,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,-9,-6,,0,25,5,14,,s,,,,,,,FALSE,FALSE,2,-9,,FALSE,1
11,11,67,milking,female,-66,,9,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,4,-4,-1,,0,12,20,20,,ial,-41,,40,,,initial,TRUE,FALSE,2,-4,,FALSE,1
12,12,65,milking,female,-64,,155,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,4,-2,1,,0,15,26,26,0,s,,,,,,,FALSE,FALSE,2,-2,,FALSE,1
13,13,64,milking,female,-63,,47,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,-4,-1,,0,1,10,19,,s,,,,,,,FALSE,FALSE,2,-4,,FALSE,1
14,14,64,milking,female,-63,,53,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,-2,,,0,20,30,30,,s,,,,,,,FALSE,FALSE,2,-2,,FALSE,1
15,15,63,milking,female,-62,,61,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,-2,1,,0,,14,14,0,s,,,,,,,TRUE,FALSE,2,-2,,FALSE,1
16,16,56,milking,female,-55,,28,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,-7,-4,,0,6,15,15,,s,,,,,,,FALSE,FALSE,2,-7,,FALSE,1
17,17,56,milking,female,-55,,27,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,3,-5,-2,,0,10,17,26,,s,,,,,,,TRUE,FALSE,2,-5,,FALSE,1
18,18,52,milking,female,-51,,64,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,-3,,,3,2,10,10,0,s,,,,,,,TRUE,TRUE,2,-3,,FALSE,1
19,19,51,milking,female,-50,,29,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-9,-6,,0,6,14,22,,s,,,,,,,FALSE,FALSE,2,-9,,FALSE,1
20,20,47,dry,female,-46,,40,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,-10,-7,-1,0,15,24,24,,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,1
21,21,45,milking,female,-44,,65,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,-6,-3,,0,20,30,30,,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,1
22,22,45,dry,female,-44,,38,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-10,-7,-1,0,28,7,7,,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,1
23,23,44,milking,female,-43,,3,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-7,-4,,0,20,1,10,,s,,,,,,,TRUE,FALSE,2,-7,,FALSE,1
24,24,43,milking,female,-42,,94,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-6,-3,,0,26,4,4,,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,1
25,25,43,milking,female,-42,,27,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,12,21,21,,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,1
26,26,42,milking,female,-41,,26,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-5,-2,,0,25,2,10,,s,,,,,,,TRUE,FALSE,2,-5,,FALSE,1
27,27,42,milking,female,-41,,15,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-3,1,,0,,23,23,0,ial,-34,,,,,initial,FALSE,FALSE,2,-3,,FALSE,1
28,28,42,milking,female,-41,,10,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-4,-1,,0,6,16,25,,s,,,,,,,FALSE,FALSE,2,-4,,FALSE,1
29,29,42,milking,female,-41,1,1,FALSE,dead,TRUE,FALSE,FALSE,FALSE,2,-6,-3,,0,25,3,14,,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,1
30,30,40,milking,female,-39,,17,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-1,,,0,8,18,18,,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,1
31,31,40,milking,female,-39,,36,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,-1,,,0,12,22,22,,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,1
32,32,39,milking,female,-38,,52,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,1,,-3,0,2,1,4,,s,,,,,,,FALSE,FALSE,2,-3,,FALSE,1
33,33,38,milking,female,-37,,32,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-2,1,,0,0,23,23,0,s,,,,,,,TRUE,FALSE,2,-2,,FALSE,1
34,34,36,dry,female,-35,,27,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-11,-8,-2,0,24,3,3,,s,,,,,,,FALSE,FALSE,2,-2,,FALSE,1
35,35,36,dry,female,-35,,18,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-10,-7,-1,0,6,15,15,,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,1
36,36,32,milking,female,-31,,94,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,26,6,6,,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,1
37,37,32,milking,female,-31,,53,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,7,17,17,,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,1
38,38,32,milking,female,-31,,3,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,19,28,8,,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,1
39,39,32,milking,female,-31,,27,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-6,-3,,0,10,18,18,,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,1
40,40,30,milking,female,-29,,9,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-4,-1,,0,6,17,17,,s,,,,,,,TRUE,FALSE,2,-4,,FALSE,1
41,41,30,milking,female,-29,,0,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-4,-1,,0,24,2,2,,s,,,,,,,FALSE,FALSE,2,-4,,FALSE,1
42,42,30,milking,female,-29,,2,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-4,-1,,0,14,23,23,,s,,,,,,,TRUE,FALSE,2,-4,,FALSE,1
43,43,29,milking,female,-28,,12,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-3,,,3,15,24,2,1,s,,,,,,,TRUE,FALSE,2,-3,,FALSE,1
44,44,28,milking,female,-27,,36,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-2,,,0,13,22,1,,s,,,,,,,FALSE,FALSE,2,-2,,FALSE,1
45,45,27,milking,female,-26,,11,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,-1,,,0,18,27,27,,s,,,,,,,TRUE,FALSE,2,-1,,FALSE,1
46,46,27,milking,female,-26,,28,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-1,,,0,22,1,1,,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,1
47,47,27,milking,female,-26,,51,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,-1,,,0,14,24,4,,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,1
48,48,26,milking,female,-25,,19,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,0,,,0,6,14,24,,s,,,,,,,TRUE,FALSE,2,0,,FALSE,1
49,49,25,heifer,female,-24,,89,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,-8,,0,1,9,9,,s,,,,,,,TRUE,FALSE,2,12,,FALSE,1
50,50,23,heifer,female,-22,,32,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,-6,,0,19,27,5,,s,,,,,,,FALSE,FALSE,2,10,,FALSE,1
51,51,23,heifer,female,-22,,38,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,-6,,0,19,26,26,,s,,,,,,,FALSE,FALSE,2,10,,FALSE,1
52,52,21,heifer,female,-20,,25,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,-4,,0,8,16,16,,s,,,,,,,FALSE,FALSE,2,8,,FALSE,1
53,53,19,heifer,female,-18,,22,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,-2,,0,6,16,23,,s,,,,,,,FALSE,FALSE,2,6,,FALSE,1
54,54,16,heifer,female,-15,,76,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,1,4,14,23,1,s,,,,,,,FALSE,FALSE,2,3,,FALSE,1
55,55,16,heifer,female,-15,,90,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,1,,0,0,12,12,0,s,,,,,,,TRUE,FALSE,2,3,,FALSE,1
56,56,15,heifer,female,-14,,39,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,3,11,20,20,0,s,,,,,,,TRUE,FALSE,2,2,,FALSE,1
57,57,15,heifer,female,-14,,111,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,1,,0,,21,21,0,s,,,,,,,FALSE,FALSE,2,2,,FALSE,1
58,58,14,heifer,female,-13,,35,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,1,,0,0,7,7,0,s,,,,,,,FALSE,FALSE,2,1,,FALSE,1
59,59,13,heifer,female,-12,,23,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,11,21,21,,s,,,,,,,FALSE,FALSE,2,0,,FALSE,1
60,60,13,heifer,female,-12,,57,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,17,26,26,,s,,,,,,,TRUE,TRUE,2,0,,FALSE,1
61,61,13,heifer,female,-12,,25,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,4,14,24,,s,,,,,,,TRUE,FALSE,2,0,,FALSE,1
62,62,11,calf,female,-10,,62,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,13,20,20,,s,,,,,,,TRUE,FALSE,2,7,,FALSE,1
63,63,10,calf,female,-9,,69,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,,,0,8,16,25,,s,,,,,,,TRUE,FALSE,2,6,,FALSE,1
64,64,7,calf,female,-6,,34,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,28,6,,0,s,,,,,,,FALSE,FALSE,2,3,,FALSE,1
65,65,7,calf,female,-6,,21,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,28,7,,0,s,,,,,,,TRUE,FALSE,2,3,,FALSE,1
66,66,6,calf,female,-5,,48,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,12,20,,0,s,,,,,,,TRUE,FALSE,2,2,,FALSE,1
67,67,6,calf,female,-5,,57,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,,,0,3,11,,0,s,,,,,,,FALSE,FALSE,2,2,,FALSE,1
